


--------------------------------------------------
2025-11-10 11:49:54, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:49:55, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:49:56, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:49:57, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:49:58, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:49:59, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:00, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:01, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:02, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:03, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:04, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:05, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:06, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:07, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:08, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:09, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:10, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:11, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:12, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:13, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:14, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:15, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:16, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:17, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:18, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:19, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:20, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:21, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:22, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:23, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:24, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:25, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:26, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:27, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:28, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:29, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:30, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:31, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:32, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:33, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:34, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:35, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:36, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:37, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:38, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:39, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:40, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 11:50:41, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:37, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:38, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:39, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:40, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:41, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:42, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:43, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:44, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:45, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:46, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:47, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:48, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:49, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:50, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:51, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:52, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:53, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:54, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:55, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:56, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:57, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:58, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:55:59, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:00, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:01, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:02, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:03, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:04, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:05, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:06, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:07, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:08, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:09, Lat_calibrated: nan, Lon_calibrated: nan
2025-11-10 13:56:10, Lat_calibrated: nan, Lon_calibrated: nan
